Year,Gender,Cohort,State,drivers_sum
1994,Female,85+,Maine,4038
1994,Female,85+,Maryland,7622
1994,Female,85+,Massachusetts,15284
1994,Female,85+,Michigan,24164
1994,Female,85+,Minnesota,15373
1994,Female,85+,Mississippi,6267
1994,Female,85+,Missouri,15826
1994,Female,85+,Montana,1648
1994,Female,85+,Nebraska,8711
1994,Female,85+,Nevada,2383
1994,Female,85+,New Hampshire,2688
1994,Female,85+,New Jersey,19025
1994,Female,85+,New Mexico,5509
1994,Female,85+,New York,39783
1994,Female,85+,North Carolina,12624
1994,Female,85+,North Dakota,2520
1994,Female,85+,Ohio,27939
1994,Female,85+,Oklahoma,16209
1994,Female,85+,Oregon,15651
1994,Female,85+,Pennsylvania,27055
1994,Female,85+,Rhode Island,1866
1994,Female,85+,South Carolina,7005
1994,Female,85+,South Dakota,3275
1994,Female,85+,Tennessee,20207
1994,Female,85+,Texas,41634
